sep=,
DeviceTag:,RF-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-12-10_14:33:40_181 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
161,818678703,-178.541763,-80.595444,87.096008,0.148958,0.327368,0.070702,0
162,818695370,-178.511963,-80.543793,86.895813,0.012922,0.166469,0.085011,0
163,818712037,-178.467819,-80.527672,86.697357,-0.082964,0.251482,0.128901,0
164,818728704,-178.473358,-80.520126,86.584480,-0.174703,0.091522,0.079651,0
165,818745371,-178.440704,-80.502762,86.553040,0.088860,0.244178,0.207813,0
166,818762038,-178.359375,-80.485085,86.381104,-0.070236,-0.070201,0.056014,0
167,818778705,-178.267639,-80.527763,86.277069,0.022711,0.208860,0.151821,0
168,818795372,-178.226135,-80.516060,86.224350,0.075381,0.265120,-0.084811,0
169,818812039,-178.237747,-80.448402,86.198944,0.009469,0.148520,0.123995,0
170,818828706,-178.134476,-80.444122,86.081299,0.036879,0.233672,0.217707,0
171,818845373,-178.023636,-80.465210,85.921349,-0.349358,0.015153,0.084794,0
172,818862040,-177.992279,-80.470947,86.000526,-0.041689,0.325647,0.084115,0
173,818878707,-177.999588,-80.451859,86.021820,0.057785,0.223938,0.009762,0
174,818895374,-178.040756,-80.419998,86.150475,0.058330,0.116242,0.122802,0
175,818912041,-177.998077,-80.427803,86.151268,0.127211,0.256039,0.071948,0
176,818928708,-178.036148,-80.404663,86.273537,-0.126495,0.018070,0.000240,0
177,818945375,-178.037292,-80.372574,86.383148,0.189982,0.357755,0.146214,0
178,818962042,-178.060547,-80.305801,86.477631,0.219588,0.087913,0.146823,0
179,818978709,-177.965103,-80.272560,86.501450,0.501327,0.155869,0.220339,0
180,818995376,-177.853714,-80.263260,86.370193,0.482237,0.305146,0.113395,0
181,819012043,-177.784714,-80.241661,86.284882,0.133692,0.184362,0.050553,0
182,819028710,-177.784073,-80.222519,86.304161,0.225736,0.266206,0.066143,0
183,819045377,-177.856766,-80.192482,86.345169,0.210863,0.230714,0.116755,0
184,819062044,-177.976212,-80.164207,86.487427,0.350094,0.314322,0.214063,0
185,819078711,-177.992783,-80.124352,86.291412,-0.007080,0.292444,0.159316,0
186,819095378,-178.084366,-80.113724,86.284943,-0.792079,-0.286226,0.206911,0
187,819112045,-178.108002,-80.188629,86.500099,0.091160,0.465344,0.193233,0
188,819128712,-178.136017,-80.172531,86.487000,0.183855,0.256277,-0.090559,0
189,819145379,-178.170959,-80.126503,86.474030,-0.262419,0.019630,0.212085,0
190,819162046,-178.127258,-80.179695,86.511459,-0.117165,0.185902,0.212984,0
191,819178713,-178.068085,-80.205437,86.481415,-0.080597,0.091256,0.081537,0
192,819195380,-177.999176,-80.251633,86.475609,-0.057692,0.092316,0.234078,0
193,819212047,-177.901031,-80.295097,86.449379,0.097600,0.306512,0.160545,0
194,819228714,-177.876709,-80.275429,86.474892,0.070851,0.236352,0.103788,0
195,819245381,-177.844254,-80.289490,86.475349,0.049973,0.193320,0.030652,0
196,819262048,-177.747406,-80.331383,86.441696,0.076380,0.199899,-0.041692,0
197,819278715,-177.691589,-80.367020,86.438850,0.216769,0.399250,0.096761,0
198,819295382,-177.765945,-80.305191,86.451332,-0.048907,0.176923,0.135923,0
199,819312049,-177.742615,-80.168190,86.728149,0.396858,-0.306707,0.233607,0
200,819328716,-177.227997,-80.298782,86.366806,0.999354,0.130554,0.187225,0
201,819345383,-177.158585,-80.552879,85.624603,-0.655143,0.187000,-0.116273,0
202,819362050,-177.459457,-80.591118,86.082756,-0.871255,0.220868,-0.291261,0
203,819378717,-177.589417,-80.311378,86.775574,0.996726,0.861734,0.419496,0
204,819395384,-177.649872,-80.224991,86.773232,0.780068,-0.722349,0.527402,0
205,819412051,-177.428879,-80.452194,86.235153,0.002838,0.022690,0.361585,0
206,819428718,-177.326431,-80.624496,86.024979,-0.417545,0.801498,-0.063777,0
207,819445385,-177.443573,-80.563766,86.339874,-0.019227,0.488451,-0.252804,0
208,819462052,-177.587357,-80.472023,86.487518,0.171394,-0.015441,0.096472,0
209,819478719,-177.519394,-80.535606,86.413811,-0.001067,-0.069658,0.208129,0
